Anna Gasser,"August 16, 1991",2,"Winter sports, snowboarding, gymnastics"," World Snowboard Tour 2010, World Snowboard Tour 2011, FIS Snowboarding World Championship 2013, Winter Olympics 2014, FIS Snowboarding World Championship 2015, FIS Snowboarding World Championship 2016, FIS Snowboarding World Championship 2017"
Tess Ledeux,"November 23, 2001",1,Skiing,"FIS race 2016, FIS Freestyle World Championship 2017"
Nairo Quintana,"February 04, 1990",3,Cycling,"Route du Sud 2012, Tour of the Basque Country 2013, Tour de France 2014, Tour de France 2015, Tour de France 2016"
